BDPONO_PurchaseOrderNumber,BDVNDR_VendorCode,VNAME_VendorName,BDRECD_RecordFlag,BDITEM_ItemNumber,BDCRTD_CreationDate,BDRPDATE_RequiredDate,BDOQOO_QuantityOrdered,BDIUOM_UnitOfMeasure,BDCQOO_ConfirmedQuantity,BDOOQ_OtherOrderedQuantity,BDTIQR_TimeInQueue,BDPOCDATE_PurchaseOrderDate,BDRCCDATE_ReceiptConfirmationDate
513698,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51996,"11.000 7.000 2.000 HF 4140 125KSI  ",20221012,200.000,"FT ",0.000,40000.000,238.751,20220204,20221014
514661,530,"STEEL DYNAMICS                     ",C,51999,"3.500 BAR HF 4330V 150KSI QT       ",20230417,1225.083,"FT ",0.000,40000.000,1415.166,20220510,20230413
514495,763,"SeAH GLOBAL INC                    ",C,51999,"3.500 BAR HF 4330V 150KSI QT       ",20230515,1232.000,"FT ",0.000,40000.000,1046.166,20220422,20230512
514193,530,"STEEL DYNAMICS                     ",C,51999,"3.500 BAR HF 4330V 150KSI QT       ",20230301,1225.083,"FT ",0.000,40000.000,901.750,20220329,20230227
513919,435,"CAPITAL STEEL & WIRE INC           ",C,52001,"1.750 BAR HF 4130  AR              ",20220613,4900.333,"FT ",0.000,40000.000,5942.333,20220304,20220701
513920,435,"CAPITAL STEEL & WIRE INC           ",C,52002,"2.000 BAR HF 4130  AR              ",20220627,3735.500,"FT ",0.000,40000.000,3432.917,20220304,20220701
514715,247,"MAGELLAN CORPORATION               ",C,52003,"2.250 BAR HF 8620  AR              ",20220518,736.000,"FT ",0.000,10000.000,687.500,20220516,20220610
514856,247,"MAGELLAN CORPORATION               ",C,52005,"5.000 BAR HF 8620  AR              ",20220630,301.250,"FT ",0.000,20000.000,343.750,20220602,20220610
514611,183,"DUFERCO STEEL INC.                 ",C,52005,"5.000 BAR HF 8620  AR              ",20220627,115.000,"FT ",0.000,7800.000,115.083,20220506,20220713
518314,247,"MAGELLAN CORPORATION               ",C,52008,"3.750 BAR HF 8620  AR              ",20241113,176.000,"FT ",0.000,6700.000,176.084,20241112,20241115
515085,571,"TREK METALS INC                    ",C,52008,"3.750 BAR HF 8620  AR              ",20220707,210.000,"FT ",0.000,8200.000,214.167,20220706,20220713
518100,130,"METALLUS                           ",C,52010,"6.500 BAR HF 4130M7  AR            ",20241111,180.750,"FT ",0.000,20000.000,242.166,20240926,20241105
516561,130,"METALLUS                           ",C,52010,"6.500 BAR HF 4130M7  AR            ",20231204,180.750,"FT ",0.000,20000.000,208.084,20230802,20231204
514411,130,"METALLUS                           ",C,52010,"6.500 BAR HF 4130M7  AR            ",20230130,180.750,"FT ",0.000,20000.000,218.749,20220414,20230202
514132,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52011,"4.500 2.962 .769 HF 4130 LN80 QT++ ",20221031,1300.000,"FT ",0.000,40000.000,1544.167,20220324,20221219
514039,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52011,"4.500 2.962 .769 HF 4130 LN80 QT++ ",20221031,2620.000,"FT ",0.000,80000.000,2942.835,20220316,20230113
514630,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52013,9.000 6.750 1.125 HF 4130 LN80 QT++,20221231,420.000,"FT ",0.000,40000.000,371.167,20220506,20230117
514612,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52014,"3.250 2.000 .625 HF 4140 LN80 QT++ ",20221231,1140.000,"FT ",0.000,20000.000,1201.083,20220506,20230124
514064,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52014,"3.250 2.000 .625 HF 4140 LN80 QT++ ",20221031,2289.500,"FT ",0.000,40000.000,2676.916,20220316,20230116
514871,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52015,"3.750 2.250 .750 HF 4140 LN80 QT++ ",20221215,783.250,"FT ",0.000,19000.000,880.500,20220603,20230208
514560,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52015,"3.750 2.250 .750 HF 4140 LN80 QT++ ",20221231,840.000,"FT ",0.000,20000.000,748.333,20220429,20230116
514065,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52015,"3.750 2.250 .750 HF 4140 LN80 QT++ ",20221031,823.417,"FT ",0.000,20000.000,987.250,20220316,20221213
514067,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,52016,11.000 8.000 1.500 HF 4140 LN80 QT+,20221031,261.083,"FT ",0.000,40000.000,278.417,20220316,20230220
