IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AT18.875-14.250 HF 8630  NQT 331/370                                  ",51913,18.8750,14.2500,2.3130,"HF 8630  NQT 331/370          ",409.058,0.0000,5.250,0.000,0.000,18.875 OD 14.250 ID 2.313 WALL,PLI,"DEFAULT                            "
"AT19.000-12.000 HF 4140 AR                                            ",52538,19.0000,12.0000,3.5000,"HF 4140 AR                    ",579.399,0.0000,0.500,0.000,0.000,19.000 OD 12.000 ID 3.500 WALL,PLI,"DEFAULT                            "
"AT19.000-12.000 HF 4340  ANN++                                        ",51716,19.0000,12.0000,3.5000,"HF 4340  ANN++                ",579.399,0.0000,1.167,0.000,0.000,19.000 OD 12.000 ID 3.500 WALL,PLI,"DEFAULT                            "
"AT19.000-13.000 HF 4140  ANN++                                        ",52545,19.0000,13.0000,3.0000,"HF 4140  ANN++                ",512.648,0.0000,0.000,0.000,0.000,19.000 OD 13.000 ID 3.000 WALL,PLI,"DEFAULT                            "
"AT19.000-14.500 HF 4130M 110-125KSI QT++                              ",51780,19.0000,14.5000,2.2500,"HF 4130M 110-125KSI QT++      ",402.508,768.8633,21.167,200.833,0.000,19.000 OD 14.500 ID 2.250 WALL,PLI,"ES-MA-174-2                        "
"AT19.000-16.500 HF 4140  NQT 262/321                                  ",52175,19.0000,16.5000,1.2500,"HF 4140  NQT 262/321          ",236.966,0.0000,0.500,0.000,0.000,19.000 OD 16.500 ID 1.250 WALL,PLI,"DEFAULT                            "
"AT19.392-16.142 HF 4130M 110-125KSI NQT                               ",52154,19.3920,16.1420,1.6250,"HF 4130M 110-125.             ",308.351,422.4407,15.250,0.000,0.000,19.392 OD 16.142 ID 1.625 WALL,PLI,"ES-MA-174-2                        "
"AT19.392-16.142 HF 4130M NORM                                         ",50955,19.3920,16.1420,1.6250,"HF 4130M NORM                 ",308.351,558.0854,0.000,0.000,0.000,19.392 OD 16.142 ID 1.625 WALL,PLI,"DEFAULT                            "
"AT19.392-16.142 HF4130M 110-125 NQT++                                 ",50958,19.3920,16.1420,1.6250,"HF4130M 110-125Y NQT++.       ",308.351,539.1670,218.168,0.000,0.000,19.392 OD 16.142 ID 1.625 WALL,PLI,"ES-MA-174-2                        "
"AT19.392-16.142 HF4130M 125-140 KSI                                   ",51526,19.3920,16.1420,1.6250,"HF4130M 125-140KSI            ",308.351,583.0284,72.583,0.000,0.000,19.392 OD 16.142 ID 1.625 WALL,PLI,"ES-MA-174-3                        "
