GLPYY,GLTRNT,GLTRN#,GLBTCH,GLREF,GLAMTQ
25,"  ",0,2,"         555555",260760.21
25,"  ",0,2,"         555555",314000.52
25,"  ",0,2,"         555555",470224.79
25,"  ",0,2,"         555555",626545.39
25,"  ",0,2,"         555555",634632.98
25,"  ",0,3,"         002452",-2329.24
25,"  ",0,3,"         002452",2329.24
25,"  ",0,3,"         222222",-32.00
25,"  ",0,3,"         222222",32.00
25,"  ",0,3,"         555555",-61864.51
25,"  ",0,3,"         555555",61864.51
25,"  ",0,4,"         008225",-717.09
25,"  ",0,4,"         008225",717.09
25,"  ",0,4,"         222222",-32.00
25,"  ",0,4,"         222222",-30.00
25,"  ",0,4,"         222222",30.00
25,"  ",0,4,"         222222",32.00
25,"  ",0,4,"         273732",-404.13
25,"  ",0,4,"         273732",404.13
25,"  ",0,4,"         367984",-180241.27
25,"  ",0,4,"         367984",180241.27
25,"  ",0,5,"         222222",-550000.00
25,"  ",0,5,"         222222",-166296.92
25,"  ",0,5,"         222222",-32.00
25,"  ",0,5,"         222222",-30.32
25,"  ",0,5,"         222222",-30.00
25,"  ",0,5,"         222222",30.00
25,"  ",0,5,"         222222",30.32
25,"  ",0,5,"         222222",32.00
25,"  ",0,5,"         222222",166296.92
25,"  ",0,5,"         222222",550000.00
25,"  ",0,5,"         555555",-181435.72
25,"  ",0,5,"         555555",-46435.44
25,"  ",0,5,"         555555",46435.44
25,"  ",0,5,"         555555",181435.72
25,"  ",0,6,"         222222",-33.00
25,"  ",0,6,"         222222",33.00
25,"  ",0,6,"         452184",-129.00
25,"  ",0,6,"         452184",-32.71
25,"  ",0,6,"         452184",32.71
25,"  ",0,6,"         452184",129.00
25,"  ",0,6,"         555555",-44141.60
25,"  ",0,6,"         555555",-7622.52
25,"  ",0,6,"         555555",7622.52
25,"  ",0,6,"         555555",44141.60
25,"  ",0,7,"         222222",-575000.00
25,"  ",0,7,"         222222",-171179.51
25,"  ",0,7,"         222222",-2940.46
25,"  ",0,7,"         222222",-30.00
25,"  ",0,7,"         222222",30.00
25,"  ",0,7,"         222222",2940.46
25,"  ",0,7,"         222222",171179.51
25,"  ",0,7,"         222222",575000.00
25,"  ",0,7,"         555555",-892266.54
25,"  ",0,7,"         555555",-562429.80
25,"  ",0,7,"         555555",-385.47
25,"  ",0,7,"         555555",385.47
25,"  ",0,7,"         555555",562429.80
25,"  ",0,7,"         555555",892266.54
25,"  ",0,8,"         020412",-5231.60
25,"  ",0,8,"         020412",5231.60
25,"  ",0,8,"         222222",-32.00
25,"  ",0,8,"         222222",-29.00
25,"  ",0,8,"         222222",29.00
25,"  ",0,8,"         222222",32.00
25,"  ",0,8,"         400237",-28.38
25,"  ",0,8,"         400237",28.38
25,"  ",0,8,"         555555",-668172.65
25,"  ",0,8,"         555555",-15364.41
25,"  ",0,8,"         555555",-123.77
25,"  ",0,8,"         555555",123.77
25,"  ",0,8,"         555555",15364.41
25,"  ",0,8,"         555555",668172.65
25,"  ",0,9,"         222222",-49.82
25,"  ",0,9,"         222222",-9.00
25,"  ",0,9,"         222222",9.00
25,"  ",0,9,"         222222",49.82
25,"  ",0,9,"         555555",-474173.12
25,"  ",0,9,"         555555",-7349.03
25,"  ",0,9,"         555555",-1099.03
25,"  ",0,9,"         555555",-123.77
25,"  ",0,9,"         555555",123.77
25,"  ",0,9,"         555555",1099.03
25,"  ",0,9,"         555555",7349.03
25,"  ",0,9,"         555555",474173.12
25,"  ",0,9,"         708631",-46291.39
25,"  ",0,9,"         708631",-3595.88
25,"  ",0,9,"         708631",-634.62
25,"  ",0,9,"         708631",634.62
25,"  ",0,9,"         708631",3595.88
25,"  ",0,9,"         708631",46291.39
25,"  ",0,10,"         020851",-5329.80
25,"  ",0,10,"         020851",5329.80
25,"  ",0,10,"         222222",-30.00
25,"  ",0,10,"         222222",30.00
25,"  ",0,10,"         555555",-514890.82
25,"  ",0,10,"         555555",-47741.25
25,"  ",0,10,"         555555",-42865.92
25,"  ",0,10,"         555555",-42176.52
25,"  ",0,10,"         555555",-29880.61
25,"  ",0,10,"         555555",-12705.09
25,"  ",0,10,"         555555",-327.48
25,"  ",0,10,"         555555",327.48
25,"  ",0,10,"         555555",12705.09
25,"  ",0,10,"         555555",29880.61
25,"  ",0,10,"         555555",42176.52
25,"  ",0,10,"         555555",42865.92
25,"  ",0,10,"         555555",47741.25
25,"  ",0,10,"         555555",514890.82
25,"  ",0,11,"         002591",-1178.66
25,"  ",0,11,"         002591",1178.66
25,"  ",0,11,"         555555",-851176.67
25,"  ",0,11,"         555555",-169749.63
25,"  ",0,11,"         555555",-86907.08
25,"  ",0,11,"         555555",86907.08
25,"  ",0,11,"         555555",169749.63
25,"  ",0,11,"         555555",851176.67
25,"  ",0,12,"         555555",-691502.37
25,"  ",0,12,"         555555",-31846.46
25,"  ",0,12,"         555555",-20000.00
25,"  ",0,12,"         555555",-75.00
25,"  ",0,12,"         555555",75.00
25,"  ",0,12,"         555555",20000.00
25,"  ",0,12,"         555555",31846.46
25,"  ",0,12,"         555555",691502.37
25,"  ",0,13,"         555555",-888552.70
25,"  ",0,13,"         555555",-590774.67
25,"  ",0,13,"         555555",-453269.97
25,"  ",0,13,"         555555",-175240.55
25,"  ",0,13,"         555555",-166329.94
